batch_index,batch_loss
0,2.6227822303771973
1,2.604738235473633
2,2.597858190536499
3,2.585996150970459
4,2.552722930908203
5,2.5594239234924316
6,2.537781238555908
7,2.5243682861328125
8,2.513381242752075
9,2.552605628967285
10,2.534160852432251
11,2.480038642883301
12,2.509826183319092
13,2.4739480018615723
14,2.4680542945861816
15,2.441898822784424
16,2.441615343093872
17,2.429694175720215
18,2.4210410118103027
19,2.412428379058838
20,2.4018805027008057
21,2.3828516006469727
22,2.3773396015167236
23,2.3697712421417236
24,2.3594727516174316
25,2.3445017337799072
26,2.340186595916748
27,2.3289690017700195
28,2.311096429824829
29,2.302119493484497
30,2.2909698486328125
31,2.284539222717285
32,2.2771897315979004
33,2.262281894683838
34,2.2509050369262695
35,2.2435529232025146
36,2.236265182495117
37,2.2235465049743652
38,2.2196061611175537
39,2.198035717010498
