epoch,binding_mean,binding_std,binding_min,binding_max,binding_median
1,0.4788750112056732,0.09622036665678024,0.33399999141693115,0.6539999842643738,0.46299999952316284
2,0.49145832657814026,0.08587343990802765,0.335999995470047,0.6140000224113464,0.4925000071525574
3,0.5055416822433472,0.09719395637512207,0.33399999141693115,0.6589999794960022,0.5320000052452087
4,0.49954167008399963,0.09831581264734268,0.3400000035762787,0.6570000052452087,0.49799999594688416
5,0.5040000081062317,0.10323920845985413,0.34299999475479126,0.6650000214576721,0.48500001430511475
6,0.48112499713897705,0.09468646347522736,0.33799999952316284,0.6439999938011169,0.4620000123977661
7,0.5168750286102295,0.0933123305439949,0.3529999852180481,0.6639999747276306,0.5139999985694885
8,0.49429166316986084,0.10387831926345825,0.34700000286102295,0.6589999794960022,0.4909999966621399
9,0.5217916965484619,0.09910935908555984,0.3479999899864197,0.6650000214576721,0.5329999923706055
10,0.518916666507721,0.08216442912817001,0.36899998784065247,0.6449999809265137,0.534000039100647
